"unique_item_no","my_rs","res_vec","plots_with_labels","images","size_h","size_w","instructions","masks_with_labels"
"64","0.469318181818182","89.4","all_plots/16D.png","16D.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask64.png"
"65","0.487272727272727","88.33","all_plots/17A.png","17A.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask65.png"
"66","0.487272727272727","88.33","all_plots/17B.png","17B.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask66.png"
"67","0.487272727272727","88.33","all_plots/17C.png","17C.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask67.png"
"68","0.487272727272727","88.33","all_plots/17D.png","17D.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask68.png"
"69","0.505227272727273","87.36","all_plots/18A.png","18A.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask69.png"
"70","0.505227272727273","87.36","all_plots/18B.png","18B.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask70.png"
"71","0.505227272727273","87.36","all_plots/18C.png","18C.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask71.png"
"72","0.505227272727273","87.36","all_plots/18D.png","18D.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask72.png"
"73","0.523181818181818","86.21","all_plots/19A.png","19A.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask73.png"
"74","0.523181818181818","86.21","all_plots/19B.png","19B.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask74.png"
"75","0.523181818181818","86.21","all_plots/19C.png","19C.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask75.png"
"76","0.523181818181818","86.21","all_plots/19D.png","19D.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask76.png"
"77","0.541136363636364","85.04","all_plots/20A.png","20A.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask77.png"
"78","0.541136363636364","85.04","all_plots/20B.png","20B.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask78.png"
"79","0.541136363636364","85.04","all_plots/20C.png","20C.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask79.png"
"80","0.541136363636364","85.04","all_plots/20D.png","20D.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask80.png"
"81","0.559090909090909","83.77","all_plots/21A.png","21A.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask81.png"
"82","0.559090909090909","83.77","all_plots/21B.png","21B.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask82.png"
"83","0.559090909090909","83.77","all_plots/21C.png","21C.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask83.png"
"84","0.559090909090909","83.77","all_plots/21D.png","21D.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask84.png"
"85","0.577045454545455","82.45","all_plots/22A.png","22A.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask85.png"
"86","0.577045454545455","82.45","all_plots/22B.png","22B.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask86.png"
"87","0.577045454545455","82.45","all_plots/22C.png","22C.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask87.png"
"88","0.577045454545455","82.45","all_plots/22D.png","22D.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask88.png"
"89","0.595","81.13","all_plots/23A.png","23A.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask89.png"
"90","0.595","81.13","all_plots/23B.png","23B.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask90.png"
"91","0.595","81.13","all_plots/23C.png","23C.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask91.png"
"92","0.595","81.13","all_plots/23D.png","23D.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask92.png"
"93","0.612954545454546","79.66","all_plots/24A.png","24A.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask93.png"
"94","0.612954545454546","79.66","all_plots/24B.png","24B.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask94.png"
"95","0.612954545454546","79.66","all_plots/24C.png","24C.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask95.png"
"96","0.612954545454546","79.66","all_plots/24D.png","24D.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask96.png"
"97","0.630909090909091","78.2","all_plots/25A.png","25A.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask97.png"
"98","0.630909090909091","78.2","all_plots/25B.png","25B.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask98.png"
"99","0.630909090909091","78.2","all_plots/25C.png","25C.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask99.png"
"100","0.630909090909091","78.2","all_plots/25D.png","25D.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask100.png"
"101","0.648863636363636","76.62","all_plots/26A.png","26A.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask101.png"
"102","0.648863636363636","76.62","all_plots/26B.png","26B.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask102.png"
"103","0.648863636363636","76.62","all_plots/26C.png","26C.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask103.png"
"104","0.648863636363636","76.62","all_plots/26D.png","26D.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask104.png"
"105","0.666818181818182","75.05","all_plots/27A.png","27A.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask105.png"
"106","0.666818181818182","75.05","all_plots/27B.png","27B.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask106.png"
"107","0.666818181818182","75.05","all_plots/27C.png","27C.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask107.png"
"108","0.666818181818182","75.05","all_plots/27D.png","27D.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask108.png"
"109","0.684772727272727","73.36","all_plots/28A.png","28A.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask109.png"
"110","0.684772727272727","73.36","all_plots/28B.png","28B.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask110.png"
"111","0.684772727272727","73.36","all_plots/28C.png","28C.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask111.png"
"112","0.684772727272727","73.36","all_plots/28D.png","28D.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask112.png"
"113","0.702727272727273","71.6","all_plots/29A.png","29A.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask113.png"
"114","0.702727272727273","71.6","all_plots/29B.png","29B.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask114.png"
"115","0.702727272727273","71.6","all_plots/29C.png","29C.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask115.png"
"116","0.702727272727273","71.6","all_plots/29D.png","29D.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask116.png"
"117","0.720681818181818","69.76","all_plots/30A.png","30A.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask117.png"
"118","0.720681818181818","69.76","all_plots/30B.png","30B.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask118.png"
"119","0.720681818181818","69.76","all_plots/30C.png","30C.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask119.png"
"120","0.720681818181818","69.76","all_plots/30D.png","30D.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask120.png"
"121","0.738636363636364","67.86","all_plots/31A.png","31A.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask121.png"
"122","0.738636363636364","67.86","all_plots/31B.png","31B.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask122.png"
"123","0.738636363636364","67.86","all_plots/31C.png","31C.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask123.png"
"124","0.738636363636364","67.86","all_plots/31D.png","31D.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask124.png"
"125","0.756590909090909","65.73","all_plots/32A.png","32A.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask125.png"
"126","0.756590909090909","65.73","all_plots/32B.png","32B.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask126.png"
"127","0.756590909090909","65.73","all_plots/32C.png","32C.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask127.png"
"128","0.756590909090909","65.73","all_plots/32D.png","32D.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask128.png"
"129","0.774545454545455","63.57","all_plots/33A.png","33A.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask129.png"
"130","0.774545454545455","63.57","all_plots/33B.png","33B.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask130.png"
"131","0.774545454545455","63.57","all_plots/33C.png","33C.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask131.png"
"132","0.774545454545455","63.57","all_plots/33D.png","33D.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask132.png"
"133","0.7925","61.29","all_plots/34A.png","34A.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask133.png"
"134","0.7925","61.29","all_plots/34B.png","34B.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask134.png"
"135","0.7925","61.29","all_plots/34C.png","34C.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask135.png"
"136","0.7925","61.29","all_plots/34D.png","34D.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask136.png"
"137","0.810454545454546","58.87","all_plots/35A.png","35A.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask137.png"
"138","0.810454545454546","58.87","all_plots/35B.png","35B.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask138.png"
"139","0.810454545454546","58.87","all_plots/35C.png","35C.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask139.png"
"140","0.810454545454546","58.87","all_plots/35D.png","35D.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask140.png"
"141","0.828409090909091","56.22","all_plots/36A.png","36A.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask141.png"
"142","0.828409090909091","56.22","all_plots/36B.png","36B.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask142.png"
"143","0.828409090909091","56.22","all_plots/36C.png","36C.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask143.png"
"144","0.828409090909091","56.22","all_plots/36D.png","36D.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask144.png"
"145","0.846363636363636","53.4","all_plots/37A.png","37A.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask145.png"
"146","0.846363636363636","53.4","all_plots/37B.png","37B.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask146.png"
"147","0.846363636363636","53.4","all_plots/37C.png","37C.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask147.png"
"148","0.846363636363636","53.4","all_plots/37D.png","37D.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask148.png"
"149","0.864318181818182","50.47","all_plots/38A.png","38A.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask149.png"
"150","0.864318181818182","50.47","all_plots/38B.png","38B.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask150.png"
"151","0.864318181818182","50.47","all_plots/38C.png","38C.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask151.png"
"152","0.864318181818182","50.47","all_plots/38D.png","38D.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask152.png"
"153","0.882272727272727","47.19","all_plots/39A.png","39A.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask153.png"
"154","0.882272727272727","47.19","all_plots/39B.png","39B.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask154.png"
"155","0.882272727272727","47.19","all_plots/39C.png","39C.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask155.png"
"156","0.882272727272727","47.19","all_plots/39D.png","39D.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask156.png"
"157","0.900227272727273","43.56","all_plots/40A.png","40A.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask157.png"
"158","0.900227272727273","43.56","all_plots/40B.png","40B.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask158.png"
"159","0.900227272727273","43.56","all_plots/40C.png","40C.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask159.png"
"160","0.900227272727273","43.56","all_plots/40D.png","40D.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask160.png"
"161","0.918181818181818","39.66","all_plots/41A.png","41A.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask161.png"
"162","0.918181818181818","39.66","all_plots/41B.png","41B.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask162.png"
"163","0.918181818181818","39.66","all_plots/41C.png","41C.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask163.png"
"164","0.918181818181818","39.66","all_plots/41D.png","41D.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask164.png"
"165","0.936136363636364","35.25","all_plots/42A.png","42A.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask165.png"
"166","0.936136363636364","35.25","all_plots/42B.png","42B.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask166.png"
"167","0.936136363636364","35.25","all_plots/42C.png","42C.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask167.png"
"168","0.936136363636364","35.25","all_plots/42D.png","42D.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask168.png"
"169","0.954090909090909","30.04","all_plots/43A.png","43A.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask169.png"
"170","0.954090909090909","30.04","all_plots/43B.png","43B.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask170.png"
"171","0.954090909090909","30.04","all_plots/43C.png","43C.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask171.png"
"172","0.954090909090909","30.04","all_plots/43D.png","43D.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask172.png"
"173","0.972045454545455","23.65","all_plots/44A.png","44A.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask173.png"
"174","0.972045454545455","23.65","all_plots/44B.png","44B.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask174.png"
"175","0.972045454545455","23.65","all_plots/44C.png","44C.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask175.png"
"176","0.972045454545455","23.65","all_plots/44D.png","44D.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask176.png"
"177","0.99","14.13","all_plots/45A.png","45A.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask177.png"
"178","0.99","14.13","all_plots/45B.png","45B.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask178.png"
"179","0.99","14.13","all_plots/45C.png","45C.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask179.png"
"180","0.99","14.13","all_plots/45D.png","45D.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask180.png"
"181","0","0","all_plots/1A.png","1A.png","0.86","0.86","Please ignore the correlation displayed and set the slider to 0.","masks/mask181.png"
"182","0","0","all_plots/1B.png","1B.png","0.86","0.86","Please ignore the correlation displayed and set the slider to 0.","masks/mask182.png"
"183","0","0","all_plots/1C.png","1C.png","0.86","0.86","Please ignore the correlation displayed and set the slider to 0.","masks/mask183.png"
"184","1","0","all_plots/1D.png","1D.png","0.86","0.86","Please ignore the correlation displayed and set the slider to 1.","masks/mask184.png"
"185","1","0","all_plots/2A.png","2A.png","0.86","0.86","Please ignore the correlation displayed and set the slider to 1.","masks/mask185.png"
"186","1","0","all_plots/2B.png","2B.png","0.86","0.86","Please ignore the correlation displayed and set the slider to 1.","masks/mask186.png"
